Timestamp,1. Gender,2. Weight (in kilograms),3. Height (in cm),"4. How many hours (on average ) a week do you do low intensity (yoga, walking etc.) exercise? ","5. How many hours (on average ) a week do you do moderate intensity (running, cycling etc. ) exercise? ","6. How many hours a week (on average) do you do high intensity (weight training, marathon etc.) exercise? ","7. How many protein (meat, milk, tofu etc.) based meals do you eat on  average in a week? ","8. How many carbohydrate (grains, bread etc.) based meals do you eat on average in a  week? ","9. How many vegetable based (peas, salad etc.) meals on average do you eat in a week? ",10. How many servings desserts and sweets do you eat on  average in a week?,11. How many times do you eat processed food on  average  in a week?  
2021/04/03 4:15:47 PM GMT+6,Male,60,174,6,2,6,12,8,7,5,10
2021/04/03 4:17:38 PM GMT+6,Male,82,172,6,2,2,19,10,9,3,1
2021/04/03 5:01:49 PM GMT+6,Female,45,160,2,1,0,11,12,3,0,4
2021/04/04 11:41:22 AM GMT+6,Male,70,162,2,4,0,10,7,1,3,3
2021/04/04 12:35:16 PM GMT+6,Female,55,157.5,4,2,0,18,14,14,1,1
2021/04/04 2:24:07 PM GMT+6,Female,52,165,6,2,1,4,3,5,1,0
2021/04/05 3:50:13 AM GMT+6,Female,63,171,2,1,0,10,2,2,0,1
2021/04/06 4:44:29 PM GMT+6,Female,45,164,8,0,0,5,4,8,15,15
2021/04/06 5:58:11 PM GMT+6,Female,135,180,0,0,0,5,8,4,12,12
2021/04/07 5:13:50 AM GMT+6,Male,127,178,1,5,5,12,5,4,2,5
2021/04/07 9:52:18 AM GMT+6,Female,55,160,2,0,0,7,7,5,5,5
2021/04/07 11:00:56 AM GMT+6,Female,60,167,7,7,7,10,7,14,3,0
2021/04/07 8:00:02 PM GMT+6,Female,63.5,168,7,0,0,10,9,3,19,5
2021/04/07 9:16:59 PM GMT+6,Female,90,173,2,0,0,9,9,3,2,2
2021/04/07 9:19:33 PM GMT+6,Female,44,150,0,0,0,4,7,3,1,2
2021/04/08 7:09:43 AM GMT+6,Male,72,175,4,6,6,6,9,6,4,15
2021/04/08 2:04:32 PM GMT+6,Female,53,167,2,0,0,10,12,5,5,2
2021/04/08 5:47:37 PM GMT+6,Female,48,159,7,1,0,7,21,21,10,7
2021/04/08 6:02:30 PM GMT+6,Female,50,162,2,4,0,0,7,7,3,3
2021/04/09 5:23:42 PM GMT+6,Male,55,168,3,2,0,6,6,5,4,5
2021/04/09 5:26:17 PM GMT+6,Male,65,178,3,1,1,4,6,2,3,1
2021/04/09 5:26:34 PM GMT+6,Male,66,176,5,3,2,9,4,4,3,2
2021/04/09 5:26:50 PM GMT+6,Male,59,180,2,9,0,11,16,12,9,3
2021/04/09 6:04:50 PM GMT+6,Female,60,159,1,9,0,21,21,10,15,15
2021/04/09 6:13:43 PM GMT+6,Male,75,178,1,1,1,17,13,13,2,4
2021/04/09 11:03:56 PM GMT+6,Female,53,156,3,0,0,21,7,7,7,14
2021/04/10 4:59:13 AM GMT+6,Female,121,162,2,0,0,3,0,0,9,0
2021/04/10 6:45:01 AM GMT+6,Male,72,174,1,1,1,7,7,7,2,2
2021/04/10 12:51:28 PM GMT+6,Female,48,165,5,0,0,5,9,1,15,3
2021/04/10 4:47:05 PM GMT+6,Male,66,183,24,0,0,12,12,12,6,6
2021/04/10 4:57:30 PM GMT+6,Male,53,175,1,0,0,7,14,0,7,-9
2021/04/10 8:28:51 PM GMT+6,Female,70,155,2,1,0,3,7,4,5,2
2021/04/10 8:50:05 PM GMT+6,Female,57,169,2,0,0,7,7,3,5,3
2021/04/10 10:22:34 PM GMT+6,Female,56,175,1,0,0,5,10,7,5,2
2021/04/11 6:32:42 AM GMT+6,Female,66,165,2,0,0,9,1,0,4,-9
2021/04/11 6:36:13 AM GMT+6,Male,69,172,5,0,4,7,7,7,0,-9
2021/04/11 10:28:02 AM GMT+6,Male,58,166,4,2,6,10,7,2,7,4
2021/04/11 12:43:40 PM GMT+6,Female,55,171,4,2,1,8,3,2,2,3
2021/04/11 5:55:50 PM GMT+6,Female,70,169,1.5,3,1.5,7,5,14,1,2
2021/04/11 8:51:31 PM GMT+6,Female,70,179,8,4,2,7,6,10,1,3
2021/04/11 8:58:36 PM GMT+6,Female,60,173,0,0,5,14,14,14,15,15
2021/04/12 3:56:17 PM GMT+6,Male,50,175,2,3,0,14,14,7,3,3
2021/04/13 10:32:37 AM GMT+6,Male,58,171,4.5,1,0,6,7,3,5,0
